a2029,a3039,a4049,a5059,a6069,a70
55866,96292,121323,123389,282157,307217
8858,11944,14597,18034,23220,17052
1116,2135,3499,4275,3327,1251
344889,499835,856360,741315,666479,284040
843230,1227462,1597710,1455541,720459,253304
29990,36840,63363,65339,27775,3731
243936,326294,391027,305397,94544,16395
207213,351699,609427,638860,439010,152940
570357,708240,965166,834819,597363,299193
74383,106722,131032,171011,82372,15600
60029,94012,128461,128722,169450,121877
134123,229854,306779,283919,240828,112609
252182,163924,223613,172024,158635,92632
117317,133618,155388,129930,125577,92156
181153,201932,213038,266356,221241,58550
251573,411008,418658,308661,306871,140030
26414,48908,76529,66638,34121,4072
216311,320812,456265,433801,502062,296008
236676,314104,361636,323811,139347,21274
143556,120038,152244,131282,121147,147364
2092784,1588213,1806321,1539182,2546978,4904851
