age_group,job_type,pref,sex
6,4,14,0
3,16,12,1
2,20,13,1
5,19,3,0
2,21,27,1
3,16,17,1
4,19,14,0
5,16,13,1
4,8,6,0
5,1,37,0
7,18,14,0
6,5,33,0
3,12,14,0
4,13,13,0
3,21,12,1
4,15,28,1
3,10,13,1
5,9,27,1
2,18,17,0
3,5,12,0
7,9,29,0
2,8,5,0
4,21,2,0
5,9,33,1
5,16,46,1
4,19,36,0
4,21,11,0
7,5,31,0
5,16,4,1
4,8,6,0
4,5,26,0
5,9,14,1
6,5,33,0
5,8,14,0
7,14,40,1
6,13,13,1
6,16,1,1
2,4,43,0
7,1,23,0
3,21,13,1
2,7,21,0
2,5,19,0
4,5,23,0
2,21,45,0
5,5,23,1
5,15,23,0
6,21,23,1
3,8,37,1
2,21,21,1
7,21,16,0
4,1,23,0
5,8,12,0
4,18,46,0
6,19,12,1
5,5,21,1
6,7,28,0
4,7,13,0
2,5,5,1
6,21,22,1
7,5,23,1
2,16,9,1
2,9,34,1
5,16,27,1
2,18,21,1
7,18,13,0
7,21,44,1
6,21,16,1
5,21,33,1
3,5,23,1
5,15,14,0
3,5,43,0
3,21,13,1
3,15,21,1
2,21,28,1
5,5,23,0
5,17,47,0
3,4,28,0
3,7,12,0
2,19,31,1
4,9,26,0
2,18,12,1
4,8,40,0
5,5,4,0
4,9,26,1
3,21,10,1
4,12,23,1
3,15,23,1
7,5,23,1
2,19,14,0
4,5,14,1
4,21,21,0
3,21,40,0
4,4,23,0
4,18,11,1
5,16,22,1
6,8,14,0
7,8,1,0
6,21,1,1
4,4,23,0
3,16,11,1
3,15,21,0
2,5,14,1
4,18,28,1
3,5,7,0
2,21,11,1
6,5,25,0
4,15,1,1
2,21,6,1
4,8,6,0
2,9,39,1
5,20,9,1
6,10,29,0
4,19,23,1
5,19,34,0
2,16,28,0
7,21,27,0
7,8,2,0
5,20,13,1
5,20,17,1
4,9,1,0
5,21,23,1
2,21,28,1
2,6,27,0
2,20,13,1
7,21,14,1
6,21,1,0
6,18,26,1
2,18,12,0
4,21,37,1
2,5,28,0
3,18,13,0
4,9,34,1
5,5,11,0
4,18,12,1
5,9,13,0
5,21,33,1
5,13,14,1
4,21,23,1
5,16,10,0
3,16,26,1
6,6,21,0
5,5,8,0
5,9,1,0
6,12,24,0
6,21,12,1
4,9,39,0
4,19,1,0
4,5,28,0
7,21,23,1
2,13,1,1
5,8,1,0
2,21,47,1
5,4,23,1
5,15,34,0
3,21,23,1
5,20,27,1
4,4,45,0
5,21,11,0
7,10,11,0
3,15,27,1
3,16,5,0
7,5,24,0
3,21,13,0
5,18,27,0
5,19,14,0
6,8,27,0
4,12,27,0
5,4,8,0
3,16,26,1
3,19,22,0
6,5,13,0
4,21,14,0
3,21,2,0
7,16,40,1
3,15,14,1
4,21,1,1
2,21,3,0
2,21,21,0
3,4,9,1
3,19,13,0
4,18,23,0
6,16,34,1
2,16,46,0
7,9,4,0
4,20,34,1
6,21,40,1
3,5,16,0
2,21,16,1
4,21,27,1
4,10,3,1
7,5,17,0
6,18,40,0
6,8,25,0
3,5,20,1
6,11,1,0
7,9,27,1
4,4,36,1
2,5,22,0
6,9,1,1
7,21,24,1
2,21,34,0
7,21,26,1
4,16,9,0
5,16,14,0
2,1,14,0
5,14,41,1
4,7,13,0
4,21,28,1
5,19,4,1
4,16,21,1
7,21,42,1
3,20,11,0
2,21,13,0
3,10,28,1
7,19,23,0
3,8,13,0
7,19,22,0
5,21,13,1
7,4,43,0
5,20,27,1
3,18,23,1
6,21,1,1
7,11,12,0
6,4,3,0
7,1,11,1
2,13,19,1
4,5,40,1
2,16,16,1
7,21,13,1
3,21,11,0
7,7,13,0
3,21,32,1
6,21,12,1
4,16,11,1
6,21,4,1
4,5,21,0
2,21,34,1
6,5,27,0
6,5,24,1
3,19,13,0
3,21,27,1
5,21,10,1
6,21,13,1
4,7,28,0
2,16,27,1
3,10,23,1
5,21,4,1
5,8,36,0
4,20,11,0
5,13,12,1
3,5,40,0
5,9,47,0
3,5,8,0
4,18,12,0
2,7,27,0
2,5,1,1
5,7,28,1
2,10,43,1
3,15,13,0
6,13,12,1
5,4,13,0
5,9,9,0
5,20,9,1
2,5,10,1
5,5,9,0
5,16,40,1
4,16,25,1
6,5,14,1
6,21,1,1
3,16,3,1
7,18,24,1
7,5,8,1
4,21,24,0
2,16,1,1
2,21,1,1
6,21,1,1
3,16,11,0
7,9,13,1
2,21,4,0
6,21,27,1
6,4,3,0
