a2029,a3039,a4049,a5059,a6069,a70
180488,209169,277515,246865,251034,230682
24197,29346,39535,37528,37903,33320
18538,21587,28707,25788,23662,19764
82141,90410,112155,96274,84555,73225
14032,17192,23772,21537,22399,19988
23072,27000,34037,31066,30604,27261
37225,43271,55134,51623,49342,40400
62273,69243,90107,79162,64243,66042
49813,57254,71585,62558,53763,50444
42964,44867,59209,54768,45252,46789
317485,355324,470660,413095,319950,336840
262185,289662,380635,332125,249574,265821
843816,950660,1093682,964254,670783,631056
477540,519794,686416,640471,464742,462810
49885,59720,80805,72245,67586,65878
19484,21852,30474,26259,23327,26322
34198,33462,44970,37455,32751,33621
17038,19531,24859,22523,20725,20585
12814,12987,17110,17083,14906,14427
34022,37996,52183,47003,39590,39015
37243,42363,55744,51236,44517,46712
106810,129148,166236,153872,132856,128095
332338,372000,456193,398418,304260,309197
39393,44186,57085,51314,42818,43454
41932,44824,57419,47728,37991,37519
116665,111414,151107,132632,111318,127123
441965,462511,606958,553658,434283,483546
192581,221262,298317,271996,229859,241279
38606,42827,60204,55512,49665,55184
14981,17178,23128,22159,21242,22507
9819,11611,14964,12265,12125,10550
8775,9148,11863,10394,9504,8508
50189,51062,63205,52202,45285,45430
92258,105593,135618,114180,97170,98079
32019,35966,47539,40123,40463,40084
10792,11760,14805,13722,13753,13176
14583,16914,22642,20050,17811,17321
31879,37506,49393,42311,41084,38752
13442,15304,21577,17740,17253,17106
191312,214360,262194,216133,205331,184961
13245,14777,18817,16182,16041,13768
26963,31970,40093,37590,40483,35344
41548,47423,58204,50299,49795,41669
24481,28738,37562,31134,32526,30552
21769,26578,34115,29534,30651,26983
26946,32736,40731,36393,39871,32189
52469,62188,72547,61976,57919,38353
