a2029,a3039,a4049,a5059,a6069,a70
182607,217107,292466,276355,286162,297721
23445,30275,41556,41561,44301,44518
18424,22427,28995,26542,25997,25934
80585,92453,112572,96126,91448,87311
13759,17503,23771,23062,25497,26151
21539,27005,34180,31682,32931,32680
33802,41524,53617,50616,51745,49094
53436,63361,85248,73872,67419,75869
42546,51556,67082,59430,55246,58194
36829,40819,56772,52426,47047,55308
309603,336578,442437,390902,325890,392199
253751,276007,364050,314851,260272,311572
851152,927253,1071387,922205,671461,750765
451397,490990,658916,599010,465773,537848
48704,59333,80092,72297,73111,79259
17267,20551,29524,26155,25487,32131
30914,33023,44631,38849,35631,40630
15106,19287,24412,22823,22043,24707
12030,12333,16720,16703,15943,17657
30446,36623,50800,46729,41691,46624
36713,41775,56279,53836,48813,56415
98557,121334,160227,148929,135991,150779
309989,341355,431597,379270,310811,355042
35929,40894,55371,51206,45801,50891
37657,43607,58161,48165,40405,42954
116965,116271,158547,141763,124551,156201
454905,474793,628235,572297,468239,591617
203467,231759,320702,295245,257160,294845
42095,46415,66431,63012,57196,67470
14510,17519,24106,24963,23720,28795
9823,11806,14930,12888,13148,13442
8201,9297,12047,10732,10144,10795
50613,52173,64618,54986,48912,55678
90591,103634,137893,116560,104813,118344
29998,34997,47568,43299,44282,51241
10396,12030,15718,15302,15439,16408
13585,16332,22837,20148,19152,21096
32425,39251,51429,46954,46994,49179
13658,16607,22657,20003,19909,21841
202381,227415,277893,237507,227799,232864
13665,15842,20197,18348,18615,17605
27364,33872,43887,42932,46525,45491
42747,50074,62478,56527,55591,52905
23941,29642,39106,34736,37272,38809
22045,28604,36531,32951,35509,33987
30415,37504,45896,42969,45073,39520
51762,64602,73904,63546,61423,44824
