age_group,median,lwr_95CrI,upr_95CrI,sex,month,type,obs_resid_serum_med,obs_resid_serum_lwr,obs_resid_serum_upr,obs_donor_med,obs_donor_lwr,obs_donor_upr
ag20,0.4349896348028208,0.41428197455289806,0.45563146055209347,Male,2024-01-15,anti-N,0.718,0.642,0.785,0.674,0.648,0.699
ag30,0.3650968834156811,0.3470737760630594,0.3834031962585748,Male,2024-01-15,anti-N,0.68,0.611,0.743,0.656,0.631,0.68
ag40,0.3059775447759038,0.28918040718090166,0.32335194060511435,Male,2024-01-15,anti-N,0.652,0.587,0.714,0.603,0.581,0.625
ag50,0.2508760488650415,0.23592489342706482,0.2657856895283713,Male,2024-01-15,anti-N,0.543,0.478,0.606,0.529,0.506,0.552
ag60,0.1757366752951982,0.16321894349565105,0.18908515121896846,Male,2024-01-15,anti-N,0.435,0.367,0.506,0.459,0.436,0.482
ag70,0.2062326024096252,0.19270701118322955,0.21964824222143733,Male,2024-01-15,anti-N,0.255,0.198,0.318,NA,NA,NA
ag20,0.4380721066243422,0.4173149517635753,0.4590893490948255,Male,2024-03-15,anti-N,0.713,0.641,0.777,0.729,0.704,0.752
ag30,0.37585221586056883,0.3576182770397234,0.3937746580181233,Male,2024-03-15,anti-N,0.752,0.69,0.808,0.711,0.687,0.733
ag40,0.30849806522136436,0.2913358753407091,0.3256816024550772,Male,2024-03-15,anti-N,0.685,0.621,0.745,0.669,0.648,0.69
ag50,0.2562344137336399,0.2406588805912441,0.2713780031100268,Male,2024-03-15,anti-N,0.586,0.521,0.649,0.598,0.575,0.62
ag60,0.18059548075127438,0.16784870824097547,0.1943266842882434,Male,2024-03-15,anti-N,0.481,0.411,0.551,0.517,0.494,0.54
ag70,0.21262565550366663,0.19927918239107634,0.22632630460971268,Male,2024-03-15,anti-N,0.382,0.319,0.448,NA,NA,NA
ag20,0.831960989592001,0.8164326317060159,0.846695012391406,Male,2024-01-15,anti-S,0.957,0.914,0.983,NA,NA,NA
ag30,0.7794448165907649,0.7582339466065087,0.8007040623046568,Male,2024-01-15,anti-S,0.976,0.944,0.992,NA,NA,NA
ag40,0.78495531453148,0.7668378545959069,0.8024982584993843,Male,2024-01-15,anti-S,0.974,0.944,0.99,NA,NA,NA
ag50,0.806543701289559,0.7905926365753748,0.8218161250249701,Male,2024-01-15,anti-S,0.935,0.897,0.963,NA,NA,NA
ag60,0.8734843632521145,0.861496915589794,0.8843747521180458,Male,2024-01-15,anti-S,0.967,0.932,0.986,NA,NA,NA
ag70,0.9059013772224054,0.894568757097451,0.9162178497695899,Male,2024-01-15,anti-S,0.944,0.905,0.971,NA,NA,NA
ag20,0.831960989592001,0.8164326317060159,0.846695012391406,Male,2024-03-15,anti-S,0.972,0.937,0.991,NA,NA,NA
ag30,0.7856339377209303,0.7642953431942725,0.8065077038678093,Male,2024-03-15,anti-S,0.968,0.936,0.987,NA,NA,NA
ag40,0.7948197664817261,0.7771306269177715,0.8119556786374841,Male,2024-03-15,anti-S,0.97,0.939,0.988,NA,NA,NA
ag50,0.8078097928568364,0.7919590206534602,0.822898966849842,Male,2024-03-15,anti-S,0.971,0.942,0.988,NA,NA,NA
