job_category,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
1,20-29,0.009173825,0.00909906475,0.009247652249999998,0.009170453627701842,0.009095067978056396,0.0092464582904529,TRUE
2,20-29,0.0014575,0.0014264965,0.001486725,0.0014540485847238556,0.001424103125918962,0.0014846227882323998,TRUE
3,20-29,0.00105407,0.00104866925,0.00105964,1.8319239337907234e-4,1.7275603907985018e-4,1.9425909513109447e-4,FALSE
4,20-29,0.0565645,0.0563795,0.0567486025,0.05661383634418896,0.05643059900927687,0.05679763285865368,TRUE
5,20-29,0.138295,0.138033925,0.13856702499999998,0.1384169550797806,0.13814295436228013,0.13869141181025998,TRUE
6,20-29,0.004925115,0.0048679475,0.004981223,0.0049228851948372575,0.004867617878059375,0.004978776881571308,TRUE
7,20-29,0.040023050000000004,0.039866994999999995,0.04017721,0.04004231153343852,0.03988691328433506,0.04019828986138869,TRUE
8,20-29,0.0339878,0.0338411875,0.034129414999999996,0.03401419839539222,0.03387055075334651,0.03415843371868156,TRUE
9,20-29,0.09352995,0.09330219249999999,0.09376561750000001,0.09362460923880606,0.09339354244385704,0.09385618853691333,TRUE
10,20-29,0.012205,0.0121181975,0.0122902025,0.012210035660139371,0.012123133900435543,0.01229755259955873,TRUE
11,20-29,0.00985221,0.009775254249999999,0.009931921500000001,0.009853813783290621,0.009775685171374466,0.009932560546487964,TRUE
12,20-29,0.0219931,0.021871790000000002,0.0221116,0.022016409836183977,0.021900188670303626,0.022133233814402676,TRUE
13,20-29,0.0413507,0.0411882,0.041504902499999996,0.04139589977340611,0.041238002754929844,0.041554375163641834,TRUE
14,20-29,0.0192381,0.019132797499999996,0.019346105000000002,0.01925768997674967,0.01914886145231311,0.019367124792703364,TRUE
15,20-29,0.0297129,0.0295746675,0.0298496025,0.029736426198744705,0.029601838911366994,0.029871606562308285,TRUE
16,20-29,0.0412692,0.0411048875,0.0414175025,0.04129593188132022,0.041138217806292614,0.04145422445418248,TRUE
